dataset,n_keys,index,config,size_in_bytes,rep,n_samples,build_time,eval_time,lookup_time,eval_accu,lookup_accu
books_200M_uint64,200000000,"Binary search","",0,0,20000000,0,0,15764399718,0,2000207222435828
books_200M_uint64,200000000,"Binary search","",0,1,20000000,0,0,15764288274,0,2000207222435828
books_200M_uint64,200000000,"Binary search","",0,2,20000000,0,0,15768587800,0,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=1",4607462656,0,20000000,103972860614,5887959357,7822255631,2000207222435828,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=1",4607462656,1,20000000,101467390655,5808203146,7730316490,2000207222435828,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=1",4607462656,2,20000000,101472235457,5811121721,7753718783,2000207222435828,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=1024",4566496,0,20000000,40504682,1331962366,11229106659,2000217452291537,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=1024",4566496,1,20000000,40444418,1327600419,11219134209,2000217452291537,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=1024",4566496,2,20000000,40459274,1328029928,11224135907,2000217452291537,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=128",36134824,0,20000000,385151764,2168575277,8937592041,2000208492408817,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=128",36134824,1,20000000,385360396,2161163577,8921748714,2000208492408817,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=128",36134824,2,20000000,385382395,2167521805,8933403677,2000208492408817,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=16",288101088,0,20000000,3912584851,2953593269,7033394625,2000207372444768,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=16",288101088,1,20000000,3913607024,2969843282,7041213872,2000207372444768,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=16",288101088,2,20000000,3913452960,2972142804,7047967037,2000207372444768,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=16384",295272,0,20000000,2399255,1067761285,15698257856,2000371058351569,2000207222435828
