dataset,n_keys,rmi,layer1,layer2,n_models,bounds,size_in_bytes,rep,build_time,checksum
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,none,1072,0,1812449128,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,none,1072,1,1825066368,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,none,1072,2,1812045287,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,gabs,1080,0,5186948293,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,gabs,1080,1,5187066359,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,gabs,1080,2,5199785853,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,gind,1088,0,5032876439,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,gind,1088,1,5033024442,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,gind,1088,2,5033080325,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,labs,1584,0,5075520002,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,labs,1584,1,5101224394,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,labs,1584,2,5088495887,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,lind,2096,0,5147911324,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,lind,2096,1,5137799846,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,64,lind,2096,2,5137630492,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,none,1072,0,3984382987,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,none,1072,1,3984163562,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,none,1072,2,3984255582,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,gabs,1080,0,7341573350,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,gabs,1080,1,7354661869,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,gabs,1080,2,7354113325,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,gind,1088,0,7202257242,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,gind,1088,1,7201859156,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,gind,1088,2,7214785402,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,labs,1584,0,7219720493,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,labs,1584,1,7219458680,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,labs,1584,2,7231943209,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,lind,2096,0,7279384037,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,lind,2096,1,7292691351,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,64,lind,2096,2,7292395787,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,none,1056,0,1475294964,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,none,1056,1,1487574700,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,none,1056,2,1487586891,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,gabs,1064,0,4311621602,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,gabs,1064,1,4324327513,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,gabs,1064,2,4311780269,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,gind,1072,0,4178755808,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,gind,1072,1,4178597535,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,gind,1072,2,4191499440,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,labs,1568,0,4259960594,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,labs,1568,1,4260035056,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,labs,1568,2,4273071657,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,lind,2080,0,4354713746,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,lind,2080,1,4368620773,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,64,lind,2080,2,4368409173,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,none,1056,0,3595332086,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,none,1056,1,3621295909,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,none,1056,2,3608466532,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,gabs,1064,0,6374843557,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,gabs,1064,1,6387469653,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,gabs,1064,2,6387744653,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,gind,1072,0,6314308176,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,gind,1072,1,6326593778,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,gind,1072,2,6326561136,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,labs,1568,0,6374250943,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,labs,1568,1,6386761962,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,labs,1568,2,6386955451,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,lind,2080,0,6457736969,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,lind,2080,1,6457803606,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,64,lind,2080,2,6457763345,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,none,1056,0,3563836346,0
