dataset,layer1,layer2,n_models,mean_ae,median_ae,stdev_ae,min_ae,max_ae
books_200M_uint64,linear_spline,linear_spline,64,13644.7,7580,16668.4,0,73402
books_200M_uint64,linear_spline,linear_spline,128,3689.51,1795,4925.67,0,37214
books_200M_uint64,linear_spline,linear_spline,256,1286.62,601,1677.61,0,12228
books_200M_uint64,linear_spline,linear_spline,512,637.46,334,784.822,0,6477
books_200M_uint64,linear_spline,linear_spline,1024,364.686,217,413.488,0,3772
books_200M_uint64,linear_spline,linear_spline,2048,225.6,137,248.161,0,2255
books_200M_uint64,linear_spline,linear_spline,4096,161.022,97,176.562,0,1659
books_200M_uint64,linear_spline,linear_spline,8192,116.763,71,126.774,0,1269
books_200M_uint64,linear_spline,linear_spline,16384,82.1164,50,89.3767,0,892
books_200M_uint64,linear_spline,linear_spline,32768,57.7124,35,62.4189,0,679
books_200M_uint64,linear_spline,linear_spline,65536,40.6855,25,43.9736,0,471
books_200M_uint64,linear_spline,linear_spline,131072,28.7769,18,30.9078,0,345
books_200M_uint64,linear_spline,linear_spline,262144,20.2376,13,21.5832,0,246
books_200M_uint64,linear_spline,linear_spline,524288,14.094,9,14.8155,0,244
books_200M_uint64,linear_spline,linear_spline,1048576,9.8115,7,9.9936,0,244
books_200M_uint64,linear_spline,linear_spline,2097152,6.81101,5,6.56252,0,244
books_200M_uint64,linear_spline,linear_spline,4194304,4.78595,4,4.32398,0,244
books_200M_uint64,linear_spline,linear_spline,8388608,3.42142,3,3.08961,0,244
books_200M_uint64,linear_spline,linear_spline,16777216,2.77234,2,2.76239,0,244
books_200M_uint64,linear_spline,linear_spline,33554432,2.1049,1,2.3706,0,244
books_200M_uint64,linear_spline,linear_regression,64,5593.05,2816,7242,0,57683
books_200M_uint64,linear_spline,linear_regression,128,1669.68,917,2201.37,0,25433
books_200M_uint64,linear_spline,linear_regression,256,682.768,381,811.777,0,10225
books_200M_uint64,linear_spline,linear_regression,512,373.074,218,429.289,0,4357
books_200M_uint64,linear_spline,linear_regression,1024,220.354,137,236.714,0,2140
books_200M_uint64,linear_spline,linear_regression,2048,146.091,94,149.734,0,1584
books_200M_uint64,linear_spline,linear_regression,4096,106.143,67,109.715,0,1111
books_200M_uint64,linear_spline,linear_regression,8192,75.8598,48,78.2393,0,1025
books_200M_uint64,linear_spline,linear_regression,16384,53.139,34,54.6879,0,661
books_200M_uint64,linear_spline,linear_regression,32768,37.609,24,38.4713,0,512
books_200M_uint64,linear_spline,linear_regression,65536,26.4457,17,26.9621,0,356
books_200M_uint64,linear_spline,linear_regression,131072,18.598,12,18.8509,0,312
books_200M_uint64,linear_spline,linear_regression,262144,13.0121,9,13.0062,0,255
books_200M_uint64,linear_spline,linear_regression,524288,9.03413,6,8.80043,0,209
books_200M_uint64,linear_spline,linear_regression,1048576,6.23295,5,5.81681,0,203
books_200M_uint64,linear_spline,linear_regression,2097152,4.29719,3,3.77002,0,143
books_200M_uint64,linear_spline,linear_regression,4194304,3.0533,2,2.54618,0,132
books_200M_uint64,linear_spline,linear_regression,8388608,2.33358,2,1.98641,0,126
books_200M_uint64,linear_spline,linear_regression,16777216,1.85872,1,1.77086,0,123
books_200M_uint64,linear_spline,linear_regression,33554432,1.31175,1,1.41858,0,122
books_200M_uint64,cubic_spline,linear_spline,64,27899.2,3363,118650,0,1146689
books_200M_uint64,cubic_spline,linear_spline,128,6953.62,840,31096.6,0,383589
