dataset,n_keys,layer1,layer2,n_models,bounds,search,size_in_bytes,rep,n_samples,budget_in_bytes,is_guideline,lookup_time,lookup_accu
books_200M_uint64,200000000,linear_spline,linear_regression,126,none,model_biased_exponential,2048,0,20000000,2048,0,10588626600,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,126,none,model_biased_exponential,2048,1,20000000,2048,0,10578435194,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,126,none,model_biased_exponential,2048,2,20000000,2048,0,10579196543,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,84,labs,binary,2048,0,20000000,2048,0,10736309362,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,84,labs,binary,2048,1,20000000,2048,0,10725908986,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,84,labs,binary,2048,2,20000000,2048,0,10733308202,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,63,lind,model_biased_binary,2048,0,20000000,2048,0,11089111361,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,63,lind,model_biased_binary,2048,1,20000000,2048,0,11088826582,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,63,lind,model_biased_binary,2048,2,20000000,2048,0,11080626875,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,125,none,model_biased_exponential,2048,0,20000000,2048,0,10962012654,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,125,none,model_biased_exponential,2048,1,20000000,2048,0,10952591371,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,125,none,model_biased_exponential,2048,2,20000000,2048,0,10952350425,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,83,labs,binary,2040,0,20000000,2048,0,10795685634,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,83,labs,binary,2040,1,20000000,2048,0,10794613582,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,83,labs,binary,2040,2,20000000,2048,0,10794842350,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,62,lind,model_biased_binary,2032,0,20000000,2048,0,11018268473,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,62,lind,model_biased_binary,2032,1,20000000,2048,0,11009635297,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,62,lind,model_biased_binary,2032,2,20000000,2048,0,11017550815,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,126,none,model_biased_exponential,2048,0,20000000,2048,0,11468313858,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,126,none,model_biased_exponential,2048,1,20000000,2048,0,11458855405,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,126,none,model_biased_exponential,2048,2,20000000,2048,0,11467928881,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,84,labs,binary,2048,0,20000000,2048,0,10874916038,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,84,labs,binary,2048,1,20000000,2048,0,10884145532,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,84,labs,binary,2048,2,20000000,2048,0,10875396048,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,63,lind,model_biased_binary,2048,0,20000000,2048,0,11195743727,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,63,lind,model_biased_binary,2048,1,20000000,2048,0,11195389815,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,63,lind,model_biased_binary,2048,2,20000000,2048,0,11195290787,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,126,none,model_biased_exponential,2040,0,20000000,2048,0,15711096483,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,126,none,model_biased_exponential,2040,1,20000000,2048,0,15705817750,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,126,none,model_biased_exponential,2040,2,20000000,2048,0,15710258236,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,84,labs,binary,2040,0,20000000,2048,0,12693054241,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,84,labs,binary,2040,1,20000000,2048,0,12690306295,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,84,labs,binary,2040,2,20000000,2048,0,12688873943,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,63,lind,model_biased_binary,2040,0,20000000,2048,0,14404677211,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,63,lind,model_biased_binary,2040,1,20000000,2048,0,14412848697,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,63,lind,model_biased_binary,2040,2,20000000,2048,0,14411293130,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,84,labs,binary,2048,0,20000000,2048,1,10745225775,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,84,labs,binary,2048,1,20000000,2048,1,10749229879,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,84,labs,binary,2048,2,20000000,2048,1,10738274895,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,254,none,model_biased_exponential,4096,0,20000000,4096,0,9442037005,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,254,none,model_biased_exponential,4096,1,20000000,4096,0,9450091699,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,254,none,model_biased_exponential,4096,2,20000000,4096,0,9440095285,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,169,labs,binary,4088,0,20000000,4096,0,9252892280,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,169,labs,binary,4088,1,20000000,4096,0,9252410755,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,169,labs,binary,4088,2,20000000,4096,0,9252081391,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,127,lind,model_biased_binary,4096,0,20000000,4096,0,9365397925,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,127,lind,model_biased_binary,4096,1,20000000,4096,0,9364309331,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,127,lind,model_biased_binary,4096,2,20000000,4096,0,9374076122,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,253,none,model_biased_exponential,4096,0,20000000,4096,0,9917192362,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,253,none,model_biased_exponential,4096,1,20000000,4096,0,9916026888,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,253,none,model_biased_exponential,4096,2,20000000,4096,0,9908081998,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,168,labs,binary,4080,0,20000000,4096,0,9540192753,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,168,labs,binary,4080,1,20000000,4096,0,9541128986,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,168,labs,binary,4080,2,20000000,4096,0,9532139538,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,126,lind,model_biased_binary,4080,0,20000000,4096,0,9486830848,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,126,lind,model_biased_binary,4080,1,20000000,4096,0,9478368621,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,126,lind,model_biased_binary,4080,2,20000000,4096,0,9487334001,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,254,none,model_biased_exponential,4096,0,20000000,4096,0,10500498583,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,254,none,model_biased_exponential,4096,1,20000000,4096,0,10490979336,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,254,none,model_biased_exponential,4096,2,20000000,4096,0,10493326952,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,169,labs,binary,4088,0,20000000,4096,0,9712241279,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,169,labs,binary,4088,1,20000000,4096,0,9703431468,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,169,labs,binary,4088,2,20000000,4096,0,9703128588,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,127,lind,model_biased_binary,4096,0,20000000,4096,0,9830490015,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,127,lind,model_biased_binary,4096,1,20000000,4096,0,9838170259,2000207222435828
