dataset,layer1,layer2,n_models,bounds,size_in_bytes,mean_interval,median_interval,stdev_interval,min_interval,max_interval
books_200M_uint64,linear_spline,linear_spline,64,gabs,1064,146782,146805,1015.34,73403,146805
books_200M_uint64,linear_spline,linear_spline,64,gind,1072,89915.4,89926,612.055,16524,89926
books_200M_uint64,linear_spline,linear_spline,64,labs,1568,45511,39889,43318.3,1036,146805
books_200M_uint64,linear_spline,linear_spline,64,lind,2080,23236,20070,21461.5,246,73624
books_200M_uint64,linear_spline,linear_regression,64,gabs,1064,115350,115367,790.576,57684,115367
books_200M_uint64,linear_spline,linear_regression,64,gind,1072,83997,84007,597.959,26324,84007
books_200M_uint64,linear_spline,linear_regression,64,labs,1568,31580.8,27693,29957.5,862,115367
books_200M_uint64,linear_spline,linear_regression,64,lind,2080,24659.3,22046,22727,862,84007
books_200M_uint64,cubic_spline,linear_spline,64,gabs,1080,2.2884e+06,2293379,59629.3,1146690,2293379
books_200M_uint64,cubic_spline,linear_spline,64,gind,1088,1.15055e+06,1152242,32621.4,5553,1152242
books_200M_uint64,cubic_spline,linear_spline,64,labs,1584,92326,20945,342173,773,2293379
books_200M_uint64,cubic_spline,linear_spline,64,lind,2096,45871.9,10863,167883,245,1146934
books_200M_uint64,cubic_spline,linear_regression,64,gabs,1080,1.43716e+06,1440629,44239.1,720315,1440629
books_200M_uint64,cubic_spline,linear_regression,64,gind,1088,1.17532e+06,1177789,33071.5,457673,1177789
books_200M_uint64,cubic_spline,linear_regression,64,labs,1584,59047,14853,210571,769,1440629
books_200M_uint64,cubic_spline,linear_regression,64,lind,2096,48201.5,11971,174287,761,1177789
books_200M_uint64,linear_regression,linear_spline,64,gabs,1064,1.02156e+07,10300307,530163,5150154,10300307
books_200M_uint64,linear_regression,linear_spline,64,gind,1072,5.1415e+06,5159919,245407,9766,5159919
books_200M_uint64,linear_regression,linear_spline,64,labs,1568,760121,25569,2.62136e+06,667,10300307
books_200M_uint64,linear_regression,linear_spline,64,lind,2080,371357,13367,1.29429e+06,245,5150398
books_200M_uint64,linear_regression,linear_regression,64,gabs,1064,5.24796e+06,5285273,278074,2642637,5285273
books_200M_uint64,linear_regression,linear_regression,64,gind,1072,4.43373e+06,4463750,226619,1821347,4463750
books_200M_uint64,linear_regression,linear_regression,64,labs,1568,384308,17907,1.31756e+06,806,5285273
books_200M_uint64,linear_regression,linear_regression,64,lind,2080,327862,13903,1.12289e+06,806,4463750
books_200M_uint64,radix,linear_spline,64,gabs,1056,645109,645553,9163.43,322777,645553
books_200M_uint64,radix,linear_spline,64,gind,1064,345781,345966,5296.64,23223,345966
books_200M_uint64,radix,linear_spline,64,labs,1560,159406,115289,162208,86,645553
books_200M_uint64,radix,linear_spline,64,lind,2072,80084.1,57651,80828.2,86,322795
books_200M_uint64,radix,linear_regression,64,gabs,1056,413266,413471,5291.53,206736,413471
books_200M_uint64,radix,linear_regression,64,gind,1064,323964,324101,4170.34,117366,324101
books_200M_uint64,radix,linear_regression,64,labs,1560,112039,89825,108481,153,413471
books_200M_uint64,radix,linear_regression,64,lind,2072,83402.3,61005,82284.6,153,324101
books_200M_uint64,linear_spline,linear_spline,128,gabs,2088,74422.7,74429,394.477,37215,74429
books_200M_uint64,linear_spline,linear_spline,128,gind,2096,45546,45549,263.247,8335,45549
