dataset,n_keys,layer1,layer2,n_models,bounds,search,size_in_bytes,rep,n_samples,lookup_time,lookup_accu
books_200M_uint64,200000000,cubic_spline,linear_spline,64,none,model_biased_exponential,1072,0,20000000,13994284006,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,none,model_biased_exponential,1072,1,20000000,14006427474,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,none,model_biased_exponential,1072,2,20000000,13994976528,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,gabs,binary,1080,0,20000000,15457414135,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,gabs,binary,1080,1,20000000,15468497655,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,gabs,binary,1080,2,20000000,15458500737,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,gind,model_biased_binary,1088,0,20000000,14504008450,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,gind,model_biased_binary,1088,1,20000000,14513189410,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,gind,model_biased_binary,1088,2,20000000,14502374462,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,gind,binary,1088,0,20000000,15553935514,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,gind,binary,1088,1,20000000,15569738350,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,gind,binary,1088,2,20000000,15555660207,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,labs,binary,1584,0,20000000,11546720389,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,labs,binary,1584,1,20000000,11556832389,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,labs,binary,1584,2,20000000,11546219449,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,lind,model_biased_binary,2096,0,20000000,11152851276,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,lind,model_biased_binary,2096,1,20000000,11142591555,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,lind,model_biased_binary,2096,2,20000000,11151992342,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,lind,binary,2096,0,20000000,11070469122,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,lind,binary,2096,1,20000000,11081535664,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,64,lind,binary,2096,2,20000000,11070740116,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,128,none,model_biased_exponential,2096,0,20000000,11640354626,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,128,none,model_biased_exponential,2096,1,20000000,11629928524,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,128,none,model_biased_exponential,2096,2,20000000,11641315580,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,128,gabs,binary,2104,0,20000000,12996032912,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,128,gabs,binary,2104,1,20000000,13007114444,2000207222435828
